index_right,sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,usa_mrlc_nlcd2011,conus_elev_resampled,cnty_fips,fed_land_owner,nlcd_2016_treecanopy_2019_08_31_rev90m,nsrdb_mym_ghi,nsrdb_mym_cf1axis,dist_to_coast,sc_point_gid,sc_row_ind,sc_col_ind,res_class,offshore,trans_gid,trans_capacity,trans_type,trans_cap_cost,dist_mi,lcot,total_lcoe,turbine,mw,rd,hh,rs
2624,2624,"[1546189, 1549842]","[0, 18]","[27.0, 9.0]",1304,38.02,41.61358642578125,6.5375003814697275,28.729728,10.5624,31.270000457763672,-91.64199829101562,United States,Mississippi,Adams,13.0,-6,"{""31.0"": 27.0, ""81.0"": 9.0}",13.972222328186035,22029.0,,0.0833333358168602,4871.25,191.75,161873.4375,69890,193,217,0,0,71529,217.5,Substation,43305.05078125,11.135266532288707,0.9360472577513338,42.549633683532576,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2764,2764,[1549830],[10],[4.0],2498,38.0,41.63576889038086,6.527999877929688,55.08000000000001,20.25,30.95599937438965,-91.66000366210938,United States,Mississippi,Wilkinson,14.0,-6,"{""82.0"": 4.0}",17.25,22125.0,,0.0,4868.0,192.0,136212.640625,70973,196,217,0,0,71578,217.5,Substation,23701.400390625,6.09447151174995,0.5126474266509364,42.148416317031796,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2687,2687,"[1549842, 1549841, 1551060, 1551059, 1549840, 1549839, 1548619, 1548617]","[18, 17, 30, 29, 16, 15, 6, 4]","[2.0, 5.0, 1.0, 20.0, 17.0, 2.0, 1.0, 7.0]",322,38.04,41.57785034179688,6.538744926452638,7.094304000000001,2.6082,31.165000915527344,-91.64800262451172,United States,Mississippi,Wilkinson,18.875,-6,"{""31.0"": 18.0, ""81.0"": 37.0}",14.92727279663086,28157.0,,22.60000038146973,4899.45458984375,193.05455017089844,153906.96875,70251,194,217,0,0,71530,72.5,Substation,22374.30859375,5.753229160369709,0.4834807034275869,42.06133104522447,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2730,2730,[1548617],[4],[3.0],792,38.3,41.345699310302734,6.559999942779541,17.449344,6.4152,31.059999465942386,-91.65399932861328,United States,Mississippi,Wilkinson,22.0,-6,"{""31.0"": 3.0}",13.0,22029.0,,0.0,4869.0,191.6666717529297,149243.65625,70612,195,217,0,0,71530,72.5,Substation,11033.8291015625,2.8371893847645264,0.23678591781239336,41.58248522811513,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2765,2765,"[1552268, 1551049]","[36, 22]","[98.0, 31.0]",7266,39.08,40.44938659667969,6.716673851013184,160.128576,58.8708,30.95100021362305,-91.52799987792969,United States,Mississippi,Wilkinson,19.5,-6,"{""21.0"": 2.0, ""22.0"": 1.0, ""41.0"": 82.0, ""43.0"": 2.0, ""52.0"": 1.0, ""82.0"": 41.0}",52.73643493652344,22125.0,,63.41085433959961,4881.41064453125,189.2713165283203,137099.03125,70974,196,218,0,0,71518,195.0,Substation,45997.890625,11.82769154174467,0.9673204270319704,41.41670702371166,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2731,2731,"[1553494, 1554714, 1555934, 1557154, 1558373, 1553493, 1554713, 1555933, 1557153, 1558372, 1552273, 1553492, 1552272, 1554712, 1555932, 1558371, 1557152, 1553491, 1554711, 1555931, 1557151, 1558370, 1552271, 1553490, 1552270, 1554710, 1555930, 1557150, 1558369, 1552269, 1553489, 1554709, 1555929, 1557149, 1558368, 1552268]","[60, 86, 114, 144, 175, 59, 85, 113, 143, 174, 41, 58, 40, 84, 112, 173, 142, 57, 83, 111, 141, 172, 39, 56, 38, 82, 110, 140, 171, 37, 55, 81, 109, 139, 170, 36]","[120.0, 272.0, 207.0, 154.0, 66.0, 340.0, 475.0, 463.0, 226.0, 152.0, 2.0, 271.0, 47.0, 277.0, 186.0, 143.0, 144.0, 434.0, 412.0, 231.0, 140.0, 35.0, 46.0, 508.0, 140.0, 444.0, 211.0, 158.0, 165.0, 195.0, 511.0, 462.0, 334.0, 146.0, 109.0, 68.0]",8758,40.52,38.99713134765625,6.958097457885742,193.00032,70.956,31.05599975585937,-91.52100372314452,United States,Mississippi,Wilkinson,87.75,-6,"{""21.0"": 74.0, ""41.0"": 6576.0, ""42.0"": 119.0, ""43.0"": 233.0, ""52.0"": 1151.0, ""71.0"": 73.0, ""81.0"": 51.0, ""82.0"": 18.0}",92.1293716430664,28157.0,,89.46430969238281,4885.7294921875,187.81553649902344,139888.296875,70613,195,218,0,0,71578,217.5,Substation,35626.859375,9.160930256811447,0.7226566471756165,39.71978799483187,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2688,2688,"[1551061, 1551060, 1558379, 1558378, 1552279, 1557159, 1551059, 1552278, 1557158, 1558377, 1555938, 1552277, 1551058, 1555937, 1557157, 1558376, 1554717, 1557156, 1558375, 1555936, 1554716, 1554715, 1555935, 1557155, 1558374, 1553494, 1554714, 1555934, 1557154, 1558373]","[31, 30, 181, 180, 47, 149, 29, 46, 148, 179, 118, 45, 28, 117, 147, 178, 89, 146, 177, 116, 88, 87, 115, 145, 176, 60, 86, 114, 144, 175]","[25.0, 396.0, 2.0, 118.0, 131.0, 49.0, 406.0, 193.0, 246.0, 42.0, 91.0, 137.0, 71.0, 397.0, 208.0, 83.0, 43.0, 245.0, 69.0, 230.0, 123.0, 235.0, 183.0, 359.0, 80.0, 69.0, 197.0, 218.0, 144.0, 80.0]",4870,39.01,40.518043518066406,6.722668170928955,107.339904,39.4632,31.15999984741211,-91.51499938964844,United States,Mississippi,Wilkinson,56.96666666666667,-6,"{""41.0"": 3020.0, ""42.0"": 19.0, ""43.0"": 133.0, ""52.0"": 286.0, ""71.0"": 36.0, ""81.0"": 1145.0, ""82.0"": 231.0}",48.55810928344727,28157.0,,67.53121185302734,4888.15283203125,188.64743041992188,146432.8125,70252,194,218,0,0,71578,217.5,Substation,64494.75,16.583890696664646,1.3587657145616108,41.87680923262802,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2625,2625,"[1551063, 1552282, 1554722, 1553502, 1555942, 1554721, 1552281, 1553501, 1554720, 1553500]","[33, 50, 94, 68, 122, 93, 49, 67, 92, 66]","[24.0, 12.0, 43.0, 102.0, 1.0, 103.0, 22.0, 86.0, 10.0, 65.0]",725,37.81,41.83521270751953,6.528809547424316,15.9732,5.8725,31.26499938964844,-91.50900268554688,United States,Mississippi,Adams,16.7,-6,"{""31.0"": 36.0, ""71.0"": 1.0, ""81.0"": 431.0}",15.59829044342041,28001.0,"{""3.0"": 0.0}",2.700854778289795,4893.6044921875,188.84616088867188,154010.796875,69891,193,218,0,0,71529,217.5,Substation,48084.0390625,12.364113718713062,1.0452962224982685,42.8805089300178,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2556,2556,"[1558390, 1555951, 1557171, 1558389, 1557170, 1557169, 1555949, 1558388, 1555948, 1554728, 1557168, 1557167, 1558386]","[192, 130, 161, 191, 160, 159, 129, 190, 128, 100, 158, 157, 188]","[96.0, 28.0, 52.0, 63.0, 56.0, 78.0, 9.0, 61.0, 44.0, 20.0, 28.0, 82.0, 3.0]",774,38.32,41.27511215209961,6.61916446685791,17.052768,6.2694,31.3700008392334,-91.50299835205078,United States,Mississippi,Adams,27.23076923076923,-6,"{""21.0"": 1.0, ""31.0"": 101.0, ""41.0"": 329.0, ""42.0"": 3.0, ""43.0"": 47.0, ""52.0"": 17.0, ""71.0"": 9.0, ""82.0"": 113.0}",53.34193420410156,28001.0,"{""3.0"": 305.0}",61.43225860595703,4910.83203125,190.3354797363281,160564.6875,69530,192,218,0,0,71529,217.5,Substation,25659.693359375,6.5980182409992345,0.5503718251578751,41.82548397725749,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
2486,2486,"[1557177, 1555957, 1557176, 1558395, 1558392, 1558391, 1554732, 1558390]","[167, 136, 166, 197, 194, 193, 101, 192]","[157.0, 71.0, 52.0, 2.0, 47.0, 78.0, 63.0, 1.0]",2900,38.91,40.64574813842773,6.7005372047424325,63.8928,23.49,31.47500038146973,-91.49600219726562,United States,Mississippi,Adams,45.375,-6,"{""21.0"": 7.0, ""31.0"": 63.0, ""41.0"": 106.0, ""43.0"": 14.0, ""52.0"": 7.0, ""81.0"": 1.0, ""82.0"": 273.0}",34.49893951416016,28001.0,"{""3.0"": 9.0}",25.70276069641113,4910.8642578125,190.72186279296875,169253.84375,69169,191,218,0,0,71655,72.5,Substation,18666.4296875,4.799801728522133,0.3942693960622281,41.04001753448996,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
