index_right,sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,usa_mrlc_nlcd2011,conus_elev_resampled,cnty_fips,fed_land_owner,nlcd_2016_treecanopy_2019_08_31_rev90m,nsrdb_mym_ghi,nsrdb_mym_cf1axis,dist_to_coast,sc_point_gid,sc_row_ind,sc_col_ind,res_class,offshore,trans_gid,trans_capacity,trans_type,trans_cap_cost,dist_mi,lcot,total_lcoe,turbine,mw,rd,hh,rs
1590,1590,[1546189],[0],[27.0],2261,39.2,41.676612854003906,6.759000301361084,49.836384,18.3222,31.24099922180176,-91.69300079345705,United States,Mississippi,Adams,13.0,-6,"{""31.0"": 27.0}",13.037036895751953,22029.0,,0.1111111119389534,4857.0,191.0,163480.734375,41589,149,167,0,0,71530,72.5,Substation,45731.1953125,11.759114069466047,0.9588592139242388,42.63547206792815,3mw_150rd_160hh_7rs_60ws_150ps,3,150,160,7
1667,1667,"[1552270, 1553490, 1554710, 1555930, 1557150, 1558369, 1552269, 1553489, 1554709, 1555929, 1557149, 1558368, 1552268, 1551049, 1549830]","[38, 56, 82, 110, 140, 171, 37, 55, 81, 109, 139, 170, 36, 22, 10]","[39.0, 110.0, 111.0, 86.0, 45.0, 65.0, 195.0, 511.0, 462.0, 334.0, 146.0, 319.0, 166.0, 31.0, 4.0]",11821,38.95,38.99789047241211,6.6699395179748535,260.506368,95.7744,30.96299934387207,-91.53700256347656,United States,Mississippi,Wilkinson,69.66666666666667,-6,"{""21.0"": 32.0, ""22.0"": 1.0, ""41.0"": 1987.0, ""42.0"": 51.0, ""43.0"": 85.0, ""52.0"": 358.0, ""71.0"": 27.0, ""81.0"": 26.0, ""82.0"": 57.0}",87.49085235595703,28157.0,,87.06440734863281,4879.4970703125,187.7667694091797,137264.96875,42146,151,168,0,0,71799,7230.0,Substation,76013.7109375,19.545823724560886,1.6040610164047509,40.60195148881686,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1640,1640,"[1551058, 1554717, 1555937, 1557157, 1558376, 1552277, 1558375, 1557156, 1555936, 1554716, 1554715, 1555935, 1557155, 1558374, 1553494, 1554714, 1555934, 1557154, 1558373, 1553493, 1554713, 1555933, 1557153, 1558372, 1552273, 1553492, 1552272, 1554712, 1555932, 1558371, 1557152, 1553491, 1554711, 1555931, 1557151, 1558370, 1552271, 1553490, 1552270, 1554710, 1555930, 1557150, 1558369]","[28, 89, 117, 147, 178, 45, 177, 146, 116, 88, 87, 115, 145, 176, 60, 86, 114, 144, 175, 59, 85, 113, 143, 174, 41, 58, 40, 84, 112, 173, 142, 57, 83, 111, 141, 172, 39, 56, 38, 82, 110, 140, 171]","[53.0, 43.0, 292.0, 126.0, 91.0, 56.0, 288.0, 245.0, 230.0, 123.0, 235.0, 183.0, 359.0, 192.0, 189.0, 469.0, 425.0, 298.0, 327.0, 340.0, 475.0, 463.0, 226.0, 304.0, 2.0, 271.0, 47.0, 277.0, 186.0, 290.0, 144.0, 434.0, 412.0, 231.0, 140.0, 168.0, 46.0, 398.0, 101.0, 333.0, 125.0, 113.0, 230.0]",9989,39.18,38.75839614868164,6.70650053024292,220.143744,80.9352,31.09900093078613,-91.52899932861328,United States,Mississippi,Wilkinson,80.72093023255816,-6,"{""21.0"": 45.0, ""41.0"": 7904.0, ""42.0"": 105.0, ""43.0"": 322.0, ""52.0"": 1345.0, ""71.0"": 102.0, ""81.0"": 134.0, ""82.0"": 24.0}",84.30220794677734,28157.0,,88.72905731201172,4884.517578125,187.7475891113281,141283.9375,41868,150,168,0,0,71799,7230.0,Substation,108087.5703125,27.793151824973787,2.2676916924236408,41.02608784110528,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1591,1591,"[1551063, 1552282, 1554722, 1553502, 1555942, 1554721, 1552281, 1553501, 1554720, 1553500, 1549842, 1558379, 1551061, 1551060, 1549841, 1558378, 1552279, 1557159, 1551059, 1552278, 1557158, 1558377, 1555938, 1549840, 1549839, 1552277, 1551058, 1555937, 1557157, 1558376]","[33, 50, 94, 68, 122, 93, 49, 67, 92, 66, 18, 181, 31, 30, 17, 180, 47, 149, 29, 46, 148, 179, 118, 16, 15, 45, 28, 117, 147, 178]","[24.0, 12.0, 43.0, 102.0, 1.0, 103.0, 22.0, 86.0, 10.0, 65.0, 11.0, 6.0, 25.0, 397.0, 5.0, 195.0, 131.0, 49.0, 426.0, 193.0, 246.0, 222.0, 91.0, 17.0, 2.0, 81.0, 18.0, 105.0, 82.0, 57.0]",3249,38.18,41.39308547973633,6.586307525634768,71.559936,26.3088,31.233999252319336,-91.52100372314452,United States,Mississippi,Wilkinson,27.466666666666665,-6,"{""21.0"": 1.0, ""31.0"": 46.0, ""41.0"": 890.0, ""42.0"": 7.0, ""43.0"": 98.0, ""52.0"": 57.0, ""71.0"": 2.0, ""81.0"": 1513.0, ""82.0"": 213.0}",30.98337554931641,28157.0,,39.07145309448242,4894.7734375,189.68836975097656,150367.65625,41590,149,168,0,0,71529,217.5,Substation,55200.67578125,14.194053475622061,1.1882715351229869,42.581357014859314,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
1536,1536,"[1558391, 1554732, 1558390, 1555951, 1557171, 1558389, 1557170, 1557169, 1558388, 1555949, 1555948, 1558387, 1554728, 1557168, 1557167, 1558386]","[193, 101, 192, 130, 161, 191, 160, 159, 190, 129, 128, 189, 100, 158, 157, 188]","[245.0, 63.0, 322.0, 28.0, 52.0, 178.0, 56.0, 78.0, 135.0, 9.0, 44.0, 13.0, 20.0, 28.0, 82.0, 3.0]",3318,37.53,40.52674865722656,6.466235160827638,73.14624,26.892,31.3700008392334,-91.51200103759766,United States,Mississippi,Adams,29.6875,-6,"{""21.0"": 2.0, ""31.0"": 164.0, ""41.0"": 908.0, ""42.0"": 4.0, ""43.0"": 85.0, ""52.0"": 61.0, ""71.0"": 11.0, ""82.0"": 121.0}",66.79425048828125,28001.0,"{""3.0"": 320.0}",73.90560150146484,4915.423828125,190.64085388183602,161426.078125,41312,148,168,0,0,71529,217.5,Substation,24048.375,6.183691188446642,0.5266536946108882,41.053402351837455,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1478,1478,"[1558397, 1558396, 1557177, 1555957, 1557176, 1558395, 1558394, 1558393, 1558392, 1558391]","[199, 198, 167, 136, 166, 197, 196, 195, 194, 193]","[13.0, 4.78, 157.0, 71.0, 52.0, 50.0, 28.0, 119.0, 147.0, 51.0]",6438,38.09,39.89789581298828,6.5400123596191415,141.797952,52.1316,31.506000518798828,-91.50399780273438,United States,Mississippi,Adams,52.8,-6,"{""21.0"": 14.0, ""22.0"": 0.77978515625, ""41.0"": 314.0, ""42.0"": 5.0, ""43.0"": 41.0, ""52.0"": 21.0, ""71.0"": 7.0, ""81.0"": 10.0, ""82.0"": 280.0}",55.14141464233398,28001.0,"{""3.0"": 9.0}",52.90909194946289,4912.8671875,190.7532501220703,168453.875,41034,147,168,0,0,71647,217.5,Substation,16869.798828125,4.33782455506403,0.3640011449472657,40.26189695793555,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1668,1668,"[1559587, 1560805, 1562022, 1563239, 1564455, 1565671, 1566887, 1558369, 1568105, 1558368, 1559586, 1560804, 1562021, 1563238, 1564454, 1565670, 1568104, 1566886]","[203, 243, 286, 338, 394, 452, 516, 171, 589, 170, 202, 242, 285, 337, 393, 451, 588, 515]","[20.0, 41.0, 91.0, 46.0, 50.0, 4.0, 28.0, 11.0, 14.0, 36.0, 201.0, 172.0, 110.0, 280.0, 101.0, 260.0, 84.0, 83.0]",10363,37.78,40.22965621948242,6.531999588012695,228.075264,83.85119999999998,30.95599937438965,-91.36499786376952,United States,Mississippi,Wilkinson,92.55555555555556,-6,"{""21.0"": 5.0, ""41.0"": 709.0, ""42.0"": 162.0, ""43.0"": 219.0, ""52.0"": 373.0, ""71.0"": 43.0, ""81.0"": 90.0, ""82.0"": 31.0}",92.76164245605469,28157.0,,77.31372833251953,4847.771484375,186.3474273681641,126885.1484375,42147,151,169,0,0,71799,7230.0,Substation,59263.37890625,15.238719460489685,1.2891785821328474,41.51883480161527,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1641,1641,"[1559594, 1560812, 1562029, 1563246, 1564462, 1565678, 1566894, 1568112, 1558376, 1559593, 1558375, 1560811, 1562028, 1563245, 1564461, 1565677, 1566893, 1568111, 1558374, 1559592, 1560810, 1562027, 1563244, 1564460, 1565676, 1566892, 1568110, 1558373, 1559591, 1560809, 1562026, 1563243, 1564459, 1565675, 1568109, 1566891, 1559590, 1560808, 1562025, 1563242, 1564458, 1565674, 1566890, 1568108, 1558372, 1559589, 1560807, 1562024, 1563241, 1564457, 1565673, 1568107, 1566889, 1558371, 1559588, 1560806, 1562023, 1563240, 1564456, 1565672, 1566888, 1558370, 1568106, 1559587, 1560805, 1562022, 1563239, 1564455, 1565671, 1566887, 1568105, 1558369]","[210, 250, 293, 345, 401, 459, 523, 596, 178, 209, 177, 249, 292, 344, 400, 458, 522, 595, 176, 208, 248, 291, 343, 399, 457, 521, 594, 175, 207, 247, 290, 342, 398, 456, 593, 520, 206, 246, 289, 341, 397, 455, 519, 592, 174, 205, 245, 288, 340, 396, 454, 591, 518, 173, 204, 244, 287, 339, 395, 453, 517, 172, 590, 203, 243, 286, 338, 394, 452, 516, 589, 171]","[54.0, 160.0, 407.0, 325.0, 263.0, 234.0, 138.0, 132.0, 22.0, 307.0, 92.0, 431.0, 246.0, 385.0, 395.0, 279.0, 153.0, 84.0, 68.0, 411.0, 383.0, 441.0, 326.0, 309.0, 191.0, 129.0, 29.0, 76.0, 328.0, 212.0, 236.0, 342.0, 219.0, 75.0, 50.0, 18.0, 169.0, 325.0, 364.0, 135.0, 163.0, 222.0, 106.0, 56.0, 23.0, 328.0, 263.0, 179.0, 68.0, 114.0, 271.0, 76.0, 31.0, 45.0, 244.0, 240.0, 349.0, 160.0, 254.0, 132.0, 68.0, 60.0, 94.0, 177.0, 214.0, 216.0, 34.0, 167.0, 66.0, 52.0, 1.0, 7.0]",13423,38.77,39.192771911621094,6.66615104675293,295.757568,108.7344,31.091999053955078,-91.35700225830078,United States,Mississippi,Wilkinson,101.01388888888887,-6,"{""21.0"": 38.0, ""31.0"": 1.0, ""41.0"": 8392.0, ""42.0"": 836.0, ""43.0"": 1718.0, ""52.0"": 1868.0, ""71.0"": 133.0, ""81.0"": 330.0, ""82.0"": 110.0}",99.21001434326172,28157.0,,86.24644470214844,4860.837890625,186.8533172607422,133295.390625,41869,150,169,0,0,71799,7230.0,Substation,96986.3359375,24.938630155173158,2.0559763245647256,41.248748236185826,3mw_150rd_120hh_7rs_60ws_150ps,3,150,120,7
1592,1592,"[1560820, 1562037, 1563254, 1564470, 1565686, 1566902, 1568120, 1560819, 1562036, 1563253, 1564469, 1566901, 1568119, 1565685, 1562035, 1560818, 1563252, 1564468, 1565684, 1566900, 1568118, 1560817, 1562034, 1563251, 1565683, 1564467, 1566899, 1568117, 1560816, 1559598, 1564466, 1563250, 1566898, 1565682, 1568116, 1563249, 1564465, 1565681, 1566897, 1568115, 1562032, 1558379, 1559597, 1559596, 1562031, 1564464, 1565680, 1568114, 1560814, 1558378, 1566896, 1563248, 1559595, 1560813, 1562030, 1563247, 1564463, 1565679, 1568113, 1558377, 1566895, 1559594, 1558376, 1560812, 1562029, 1563246, 1564462, 1565678, 1566894, 1568112]","[258, 301, 353, 409, 467, 531, 604, 257, 300, 352, 408, 530, 603, 466, 299, 256, 351, 407, 465, 529, 602, 255, 298, 350, 464, 406, 528, 601, 254, 214, 405, 349, 527, 463, 600, 348, 404, 462, 526, 599, 296, 181, 213, 212, 295, 403, 461, 598, 252, 180, 525, 347, 211, 251, 294, 346, 402, 460, 597, 179, 524, 210, 178, 250, 293, 345, 401, 459, 523, 596]","[20.0, 119.0, 82.0, 83.0, 101.0, 48.0, 53.0, 44.0, 229.0, 338.0, 68.0, 287.0, 249.0, 138.0, 143.0, 85.0, 375.0, 77.0, 370.0, 308.0, 169.0, 118.0, 45.0, 28.0, 40.0, 5.0, 77.0, 179.0, 69.0, 50.0, 112.0, 86.0, 73.0, 113.0, 30.0, 164.0, 122.0, 219.0, 222.0, 184.0, 96.0, 6.0, 1.0, 127.0, 163.0, 231.0, 212.0, 268.0, 309.0, 6.0, 4.0, 41.0, 242.0, 281.0, 106.0, 352.0, 185.0, 243.0, 72.0, 68.0, 84.0, 28.0, 13.0, 47.0, 51.0, 51.0, 43.0, 58.0, 26.0, 27.0]",8763,38.05,41.59111022949219,6.609196662902832,193.00032,70.956,31.22800064086914,-91.3479995727539,United States,Mississippi,Wilkinson,65.77142857142857,-6,"{""21.0"": 28.0, ""22.0"": 2.0, ""41.0"": 3426.0, ""42.0"": 1390.0, ""43.0"": 2108.0, ""52.0"": 1605.0, ""71.0"": 196.0, ""81.0"": 5.0, ""82.0"": 2.0}",69.15406036376953,28157.0,"{""2.0"": 96.0}",89.00958251953125,4845.94384765625,186.85211181640625,140469.4375,41591,149,169,0,0,71578,217.5,Substation,94835.859375,24.38566650159833,2.048695127302384,43.63980535679457,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
1537,1537,"[1560827, 1562044, 1563261, 1564477, 1566909, 1568127, 1559609, 1558391, 1565693, 1559608, 1558390, 1560826, 1562043, 1565692, 1563260, 1568126, 1564476, 1566908, 1559607, 1560825, 1562042, 1558389, 1563259, 1564475, 1566907, 1568125, 1565691, 1558388, 1559606, 1562041, 1565690, 1564474, 1568124, 1563258, 1560824, 1566906, 1558387, 1559605, 1562040, 1566905, 1560823, 1568123, 1565689, 1564473, 1562039, 1564472, 1565688, 1566904, 1560822, 1568122, 1563256, 1559604, 1559603, 1560821, 1563255, 1564471, 1565687, 1566903, 1568121, 1562038, 1560820, 1562037, 1563254, 1564470, 1565686, 1566902, 1568120]","[265, 308, 360, 416, 538, 611, 225, 193, 474, 224, 192, 264, 307, 473, 359, 610, 415, 537, 223, 263, 306, 191, 358, 414, 536, 609, 472, 190, 222, 305, 471, 413, 608, 357, 262, 535, 189, 221, 304, 534, 261, 607, 470, 412, 303, 411, 469, 533, 260, 606, 355, 220, 219, 259, 354, 410, 468, 532, 605, 302, 258, 301, 353, 409, 467, 531, 604]","[84.0, 394.0, 225.0, 107.0, 92.0, 112.0, 57.0, 78.0, 136.0, 228.0, 105.0, 111.0, 329.0, 180.0, 190.0, 69.0, 36.0, 31.0, 100.0, 39.0, 102.0, 44.0, 104.0, 68.0, 21.0, 74.0, 31.0, 75.0, 67.0, 23.0, 195.0, 82.0, 29.0, 22.0, 21.0, 70.0, 28.0, 117.0, 39.0, 53.0, 13.0, 39.0, 176.0, 9.0, 121.0, 274.0, 511.0, 431.0, 242.0, 94.0, 13.0, 69.0, 55.0, 24.0, 270.0, 400.0, 452.0, 276.0, 252.0, 267.0, 7.0, 138.0, 83.0, 168.0, 82.0, 137.0, 117.0]",8688,38.16,41.45450210571289,6.6368165016174325,191.414016,70.3728,31.36400032043457,-91.33999633789062,United States,Mississippi,Adams,53.746268656716424,-6,"{""21.0"": 36.0, ""22.0"": 3.0, ""31.0"": 24.0, ""41.0"": 3682.0, ""42.0"": 1214.0, ""43.0"": 1735.0, ""52.0"": 922.0, ""71.0"": 73.0, ""81.0"": 102.0, ""82.0"": 897.0}",67.28752136230469,28157.0,"{""2.0"": 115.0, ""3.0"": 57.0}",81.09806823730469,4856.09912109375,188.41275024414062,151434.734375,41313,148,169,0,0,71678,217.5,Substation,46280.03125,11.900239137719801,0.996747919000812,42.4512500247137,3mw_150rd_140hh_7rs_60ws_150ps,3,150,140,7
