sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,nlcd_aea_90,flood_aea_90,zoning_aea_90,sc_point_gid,sc_row_ind,sc_col_ind,res_class,voltage,category,ac_cap,trans_gids,trans_line_gid,trans_geometry,dist_mi,trans_cap_cost,lcot,total_lcoe
4,[158494],[2084],[4.0],80,19.0,43.82776260375977,4.436999797821045,20.736,0.6479999999999999,40.79899978637695,-105.2030029296875,United States,Colorado,Larimer,1827.56005859375,-7,"{""53.0"": 1.0, ""56.0"": 1.0, ""57.0"": 1.0, ""62.0"": 1.0}",,"{""6.0"": 4.0}",667,3,115,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",8.507601329022231,45197.37407352452,1.7107874323255468,45.53855003608532
5,[158496],[2086],[3.0],3,19.0,43.78591537475586,4.458000183105469,0.7776,0.0243,40.79899978637695,-105.16899871826172,United States,Colorado,Larimer,1702.719970703125,-7,"{""56.0"": 1.0, ""59.0"": 1.0, ""60.0"": 1.0}",,"{""6.0"": 3.0}",668,3,116,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",8.54366743522532,45329.62848497125,1.7157934573349778,45.50170883209083
6,"[158496, 158497]","[2086, 2087]","[26.0, 1.0]",103,19.0,43.799659729003906,4.457592487335205,26.6976,0.8342999999999999,40.79899978637695,-105.13400268554688,United States,Colorado,Larimer,1682.43505859375,-7,"{""14.0"": 1.0, ""15.0"": 1.0, ""34.0"": 5.0, ""53.0"": 1.0, ""54.0"": 1.0, ""56.0"": 1.0, ""58.0"": 1.0, ""59.0"": 1.0, ""60.0"": 1.0, ""61.0"": 1.0, ""71.0"": 13.0}",,"{""6.0"": 27.0}",669,3,117,0,13.2,TransLine,9999,,4808,"LINESTRING (955029.1304137921 459733.6019483046, 955019.6298688516 459733.8267728189, 954931.596994888 459735.9884684607)",7.733515057768336,42358.79971683648,1.603655735015492,45.40331546401939
7,[158497],[2087],[48.0],164,18.9,44.15716171264648,4.447000026702881,42.5088,1.3284,40.79899978637695,-105.0999984741211,United States,Colorado,Larimer,1662.1500244140625,-7,"{""20.0"": 1.0, ""53.0"": 1.0, ""54.0"": 1.0, ""55.0"": 1.0, ""56.0"": 1.0, ""57.0"": 1.0, ""61.0"": 2.0, ""63.0"": 1.0, ""64.0"": 3.0, ""66.0"": 4.0, ""67.0"": 1.0, ""69.0"": 2.0, ""70.0"": 4.0, ""71.0"": 25.0}",,"{""6.0"": 48.0}",670,3,118,0,13.2,TransLine,9999,,4808,"LINESTRING (955029.1304137921 459733.6019483046, 955019.6298688516 459733.8267728189, 954931.596994888 459735.9884684607)",6.457045658903892,37677.986431200574,1.433713367979523,45.590875080626
26,[158493],[2083],[70.0],80,19.0,43.990718841552734,4.420999050140381,20.736,0.6479999999999999,40.77299880981445,-105.27100372314452,United States,Colorado,Larimer,1886.0,-7,"{""53.0"": 4.0, ""54.0"": 4.0, ""55.0"": 3.0, ""56.0"": 5.0, ""57.0"": 2.0, ""58.0"": 3.0, ""59.0"": 4.0, ""60.0"": 2.0, ""61.0"": 3.0, ""62.0"": 1.0, ""63.0"": 2.0, ""64.0"": 2.0, ""65.0"": 2.0, ""67.0"": 2.0, ""68.0"": 5.0, ""69.0"": 3.0, ""70.0"": 2.0, ""71.0"": 3.0, ""72.0"": 1.0, ""73.0"": 1.0, ""74.0"": 3.0, ""75.0"": 1.0, ""76.0"": 1.0, ""77.0"": 2.0, ""80.0"": 3.0, ""82.0"": 1.0, ""83.0"": 1.0, ""84.0"": 3.0, ""89.0"": 1.0}","{""1.0"": 26.0}","{""6.0"": 70.0}",849,4,113,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",7.941367650128231,43120.99517302022,1.6321936770629069,45.622912518615635
27,"[158493, 158494]","[2083, 2084]","[23.0, 21.0]",44,19.0,43.91294479370117,4.428636074066162,11.4048,0.3564,40.77299880981445,-105.23699951171876,United States,Colorado,Larimer,1856.780029296875,-7,"{""49.0"": 1.0, ""50.0"": 1.0, ""53.0"": 9.0, ""54.0"": 2.0, ""55.0"": 4.0, ""56.0"": 1.0, ""58.0"": 4.0, ""59.0"": 1.0, ""60.0"": 1.0, ""61.0"": 3.0, ""62.0"": 1.0, ""63.0"": 2.0, ""64.0"": 4.0, ""66.0"": 2.0, ""67.0"": 1.0, ""69.0"": 1.0, ""72.0"": 1.0, ""75.0"": 1.0, ""80.0"": 1.0, ""81.0"": 1.0, ""86.0"": 1.0, ""89.0"": 1.0}","{""1.0"": 24.0}","{""6.0"": 44.0}",850,4,114,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",7.136940713049987,40171.1615947543,1.5205378588239995,45.433482652525164
28,"[158495, 158494]","[2085, 2084]","[55.0, 38.0]",93,19.06,43.6574592590332,4.455333232879639,24.1056,0.7533,40.77299880981445,-105.2030029296875,United States,Colorado,Larimer,1818.4599609375,-7,"{""38.0"": 1.0, ""45.0"": 1.0, ""46.0"": 1.0, ""47.0"": 3.0, ""49.0"": 2.0, ""50.0"": 2.0, ""53.0"": 9.0, ""54.0"": 7.0, ""55.0"": 4.0, ""56.0"": 3.0, ""57.0"": 4.0, ""58.0"": 6.0, ""59.0"": 7.0, ""60.0"": 4.0, ""61.0"": 3.0, ""62.0"": 3.0, ""63.0"": 2.0, ""64.0"": 3.0, ""65.0"": 4.0, ""66.0"": 2.0, ""67.0"": 3.0, ""68.0"": 2.0, ""69.0"": 4.0, ""70.0"": 5.0, ""71.0"": 6.0, ""72.0"": 1.0, ""74.0"": 1.0}",,"{""6.0"": 93.0}",851,4,115,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",6.721615905898151,38648.16552692852,1.458350689550317,45.115809948583525
29,"[158496, 158495]","[2086, 2085]","[61.0, 137.0]",198,19.07,43.61560821533203,4.46491813659668,51.3216,1.6038,40.77299880981445,-105.16899871826172,United States,Colorado,Larimer,1756.0400390625,-7,"{""31.0"": 1.0, ""32.0"": 1.0, ""35.0"": 2.0, ""36.0"": 1.0, ""37.0"": 1.0, ""38.0"": 2.0, ""39.0"": 1.0, ""40.0"": 1.0, ""44.0"": 1.0, ""47.0"": 2.0, ""48.0"": 3.0, ""49.0"": 3.0, ""50.0"": 2.0, ""53.0"": 13.0, ""54.0"": 7.0, ""55.0"": 2.0, ""56.0"": 7.0, ""57.0"": 7.0, ""58.0"": 4.0, ""59.0"": 9.0, ""60.0"": 4.0, ""61.0"": 5.0, ""62.0"": 6.0, ""63.0"": 6.0, ""64.0"": 4.0, ""65.0"": 6.0, ""66.0"": 5.0, ""67.0"": 3.0, ""68.0"": 8.0, ""69.0"": 4.0, ""70.0"": 13.0, ""71.0"": 64.0}",,"{""5.0"": 2.0, ""6.0"": 196.0}",852,4,116,0,13.2,TransLine,9999,,34265,"LINESTRING (940668.3989524876 453850.0373720034, 940670.9367717464 453938.3653927103, 940671.1026778839 453943.9819040062)",6.767224729622782,38815.413083526735,1.46388974498518,45.07949796031721
30,"[158496, 158497]","[2086, 2087]","[264.0, 15.0]",279,18.99,43.80587387084961,4.457408905029297,72.3168,2.2599,40.77299880981445,-105.13500213623048,United States,Colorado,Larimer,1682.43505859375,-7,"{""28.0"": 1.0, ""29.0"": 1.0, ""30.0"": 1.0, ""31.0"": 1.0, ""33.0"": 2.0, ""34.0"": 3.0, ""37.0"": 2.0, ""40.0"": 1.0, ""45.0"": 4.0, ""46.0"": 1.0, ""49.0"": 3.0, ""50.0"": 4.0, ""53.0"": 7.0, ""54.0"": 7.0, ""55.0"": 5.0, ""56.0"": 7.0, ""57.0"": 6.0, ""58.0"": 4.0, ""59.0"": 8.0, ""60.0"": 7.0, ""61.0"": 6.0, ""62.0"": 4.0, ""63.0"": 6.0, ""64.0"": 10.0, ""65.0"": 8.0, ""66.0"": 7.0, ""67.0"": 7.0, ""68.0"": 10.0, ""69.0"": 8.0, ""70.0"": 18.0, ""71.0"": 100.0, ""73.0"": 3.0, ""74.0"": 2.0, ""76.0"": 2.0, ""77.0"": 2.0, ""78.0"": 1.0, ""80.0"": 1.0, ""85.0"": 2.0, ""86.0"": 2.0, ""87.0"": 1.0, ""88.0"": 1.0, ""89.0"": 1.0, ""91.0"": 1.0, ""93.0"": 1.0}",,"{""6.0"": 279.0}",853,4,117,0,13.2,TransLine,9999,,4808,"LINESTRING (955029.1304137921 459733.6019483046, 955019.6298688516 459733.8267728189, 954931.596994888 459735.9884684607)",6.784028520738348,38877.03258554752,1.471969678687156,45.27784354953677
31,[158497],[2087],[336.0],336,18.9,44.15716171264648,4.446999549865723,87.0912,2.7216,40.77299880981445,-105.0999984741211,United States,Colorado,Larimer,1662.1500244140625,-7,"{""16.0"": 1.0, ""30.0"": 1.0, ""33.0"": 2.0, ""38.0"": 1.0, ""40.0"": 1.0, ""45.0"": 1.0, ""46.0"": 1.0, ""47.0"": 3.0, ""49.0"": 2.0, ""53.0"": 6.0, ""54.0"": 3.0, ""55.0"": 2.0, ""56.0"": 4.0, ""57.0"": 5.0, ""58.0"": 1.0, ""59.0"": 7.0, ""60.0"": 2.0, ""61.0"": 6.0, ""63.0"": 5.0, ""64.0"": 5.0, ""65.0"": 3.0, ""66.0"": 4.0, ""67.0"": 8.0, ""68.0"": 5.0, ""69.0"": 8.0, ""70.0"": 14.0, ""71.0"": 91.0, ""72.0"": 5.0, ""73.0"": 4.0, ""74.0"": 2.0, ""75.0"": 5.0, ""76.0"": 6.0, ""77.0"": 5.0, ""78.0"": 4.0, ""79.0"": 4.0, ""80.0"": 5.0, ""81.0"": 11.0, ""82.0"": 72.0, ""83.0"": 8.0, ""84.0"": 3.0, ""85.0"": 3.0, ""86.0"": 3.0, ""91.0"": 1.0, ""92.0"": 1.0, ""93.0"": 2.0}",,"{""6.0"": 336.0}",854,4,118,0,13.2,TransLine,9999,,4808,"LINESTRING (955029.1304137921 459733.6019483046, 955019.6298688516 459733.8267728189, 954931.596994888 459735.9884684607)",5.222383971562717,33150.482023720484,1.2614338963988658,45.41859560904534
